Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Surname_tfidf_0,Surname_tfidf_1,Surname_tfidf_2,Surname_tfidf_3,Surname_tfidf_4,France,Germany,Spain,Female,Male,Mem__no__Products,Cred_Bal_Sal,Bal_sal,Tenure_Age,Age_Tenure_product
2023,668.0,33.0,3.0,0.0,2.0,1,0,181449.97,0,"-3.124.436.679,76","-460.594.640,32","13.351.443.755,82","-6.116.396.019,04","6.694.577.725,07",1,0,0,0,1,0.0,0.0,0.0,"9.090.909.090.909.090,00",99.0
2024,627.0,33.0,1.0,0.0,2.0,1,1,49503.5,0,"481.338.256,69","838.931.547,32","-11.828.148.560,09","7.812.514.313,22","1.663.329.080,86",1,0,0,0,1,2.0,0.0,0.0,"30.303.030.303.030.300,00",33.0
1236,678.0,40.0,10.0,0.0,2.0,1,0,184866.69,0,"-3.447.294.172.650.730,00","-2.025.033.659.055.650,00","-10.280.719.705.962.700,00","-938.715.514.665.035,00","15.068.643.143.363.400,00",1,0,0,0,1,0.0,0.0,0.0,0.25,400.0
1362,581.0,34.0,2.0,148882.54,1.0,1,1,84560.88,0,"-72.209.360.028,78","-10.461.631.817.033.800,00","131.291.330.459.128,00","846.300.277.850.006,00","16.075.843.065.996.200,00",1,0,0,0,1,1.0,"10.229.405.812.711.500,00","17.606.550.452.171.200,00","58.823.529.411.764.700,00",68.0
491,716.0,33.0,5.0,0.0,2.0,1,1,15068.83,0,"-1.037.134.935,85","-545.133.813,64","498.455.946,81","-1.568.877.112,96","18.489.187.336,37",0,0,1,0,1,2.0,0.0,0.0,"15.151.515.151.515.100,00",165.0
984,588.0,36.0,4.0,131778.58,1.0,1,0,136024.31,1,"-7.737.152.502.300.290,00","11.218.196.741.012.700,00","15.684.298.783.022.500,00","-14.089.756.249.536.900,00","21.604.026.209.024.400,00",0,1,0,0,1,0.0,"569.646.742.115.435,00","9.687.869.763.867.940,00","1.111.111.111.111.110,00",144.0
436,593.0,30.0,8.0,144772.69,1.0,1,0,29792.11,0,"5.449.123.305.810.480,00","16.657.454.475.856.500,00","-601.702.975.586.823,00","-1.002.423.928.197.790,00","-4.477.551.688.263.680,00",1,0,0,1,0,0.0,"2.881.642.326.441.460,00","4.859.430.567.354.910,00","26.666.666.666.666.600,00",240.0
543,678.0,37.0,1.0,138476.41,1.0,1,0,106851.6,0,"-30.697.750,01","-98.237.562,97","20.986.677,92","-544.517.661,29","-12.694.063.325,19",0,0,1,0,1,0.0,"8.786.672.916.456.090,00","12.959.694.567.044.300,00","2.702.702.702.702.700,00",37.0
1669,676.0,43.0,4.0,0.0,2.0,1,0,142917.13,0,"21.618.471.166.211.700,00","-9.233.229.345.200.800,00","-17.226.767.021.291.300,00","18.173.869.944.434.000,00","7.487.848.990.910.180,00",1,0,0,0,1,0.0,0.0,0.0,"9.302.325.581.395.340,00",172.0
427,583.0,40.0,4.0,81274.33,1.0,1,1,170843.07,0,"-14.433.273.046,69","-116.978.348.010,95","682.626.969,81","-27.848.059.757,38","107.503.851.421,28",0,1,0,0,1,1.0,"2.773.477.109.138.810,00","47.572.506.160.185.400,00",0.1,160.0
907,599.0,27.0,6.0,161801.47,2.0,1,0,109184.24,0,"-135,01","-218,75","13.565,09","-217,31","-919,98",0,1,0,1,0,0.0,"8.876.654.774.535.220,00","14.819.123.162.830.000,00","2.222.222.222.222.220,00",162.0
527,687.0,40.0,3.0,90432.92,1.0,1,0,1676.92,0,"6.071.709.007,52","-20.304.864.728.779.100,00","-2.009.966.799.087.220,00","13.339.415.358.407.100,00","-992.226.357.784.468,00",0,1,0,0,1,0.0,"370.485.270.853.708,00","53.927.987.023.829.300,00","75,00",120.0
2316,759.0,71.0,9.0,0.0,1.0,1,1,93081.87,0,"514.205,54","439.852,59","2.280.948,84","7.413.430,46","1.019.131,21",0,0,1,0,1,1.0,0.0,0.0,"1.267.605.633.802.810,00",639.0
